,text,answer,KB_answer,meta,_input_hash,_task_hash,label,score,priority,spans,_view_id,_timestamp
0,"attention of the public.IMPROVEMENT IN STEAM NAVIGATION. —Considerableinterest has been excited in Edinburgh by the successfultrial of the steam-vessel lately launched at Granton for thedeep-sea fishing, as demonstrating the practicability of anew principle of steam propulsion, superseding both thescrew and the paddle, and as likely to effect, in some degree,a revolution in the art of steam navigation. The vessel is100 feet long, with engines of 30-horse power. Externallythere is nothing to distinguish it from a sailing-vessel, ex-cept the presence on each side of the hull of a curved pipe10 inches In diameter, termed "" a nozzle,"" communicatingwith a water-tight iron",reject,reject,"{'date': -3661459200000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9283, 'title': 'The Northern Daily Times.', 'score': 0.4916961789}",1367150814,-1818130875,POLITICAL,0.4916961789,0.4916961789,[],classification,1661245380
1,"revolutionists see-ing the hopelessness of success, abandoned theirintention. Several arrests have been made, andthe government has obtained possession of a roe•resdondence, sheaving that the plan. was concertedby one of Llie refugee committees in London.The journals announce the death, at Tulle, ofGeneral Hugo, the uncle of Victor Hugo andCount Abel Hugo,",accept,accept,"{'date': -3661286400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9762000000000001, 'title': 'The Northern Daily Times.', 'score': 0.4904969335}",1497902585,344875813,POLITICAL,0.4904969335,0.4904969335,[],classification,1661245387
2,"Caleste and Mr. Benjamin Webster, are fulfillingan engagement during the present week, at the Royal Am-phitheatre. Last evening they performed in Genevieve, orthe reign of Terror, the Pretty Girls of Stilberg, and theCamp at Chobham. Genevieve is a new drama, founded onone of those singular occurrences which' .characterized thefirst French revolution. We need scarcely say,that Mr. Webster and ' Madame Caleste, acquittedthemselves admirably in Genevieve, which was pro-fessed to be represented with new scenery, paintedby • Mr. Dearlove. It strikes us, that we haveseveral times previously had a peep at his new scenery.Many of our readers may possibly think likewise.",accept,accept,"{'date': -3666988800000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9552, 'title': 'The Northern Daily Times.', 'score': 0.48738962410000003}",-1754805272,645741434,POLITICAL,0.4873896241,0.4873896241,[],classification,1661245402
3,"that feeling of devotion in those departments ofFrance. The first cause had been the coup d'etat of thepresent emperor. Before that time the Protestants had beenunder the impression that a brighter day Was cotning fortheir liberties, and they were becoming more and more con-firmed in that belief, especially when the revolution tookplace, by which the Protestants were placed upon an abso-lute equality with the Catholics. But when the coup d'etatoccurred theysoon foundthat all power was placed in the handsof the priesthood, and they perceived how the present rulerof France was disposed to lean very naturally up on the40,000 priests of",accept,accept,"{'date': -3663792000000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.888, 'title': 'The Northern Daily Times.', 'score': 0.513350904}",-680232274,780456910,POLITICAL,0.513350904,0.513350904,[],classification,1661245417
4,"that the education wrangle has itspecuniary advantages—is going on, the uneducatedare falling with fearful rapidity into the paths ofcrime. To establish the right of the people toeducation, rwas a work of no small magnitude.The men who first urged the subject on the consi-deration of Parliament, were denounced as radicalsin politics, revolutionists in heart, and propagan-dists in practice. Those who had "" sacred""reasons on which they opposed the education of themasses, adopted with the utmost avidity tie anti-educational cry of 'the ""finality"" side of Parliiment.Luckily, however, "", finality"" has become. a sort ofmoveable feast which belongs to the passoverorder. The great",accept,accept,"{'date': -3662496000000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9436, 'title': 'The Northern Daily Times.', 'score': 0.48617035150000004}",-305140390,-1445931393,POLITICAL,0.4861703515,0.4861703515,[],classification,1661245427
5,"were also present Messrs. John Thompson,Fawns, Donglas, Francis Evans, Fisher and Goodwin. Thecoal was from the Killymoon estate, Fingal, taken, we un-derstand, from a scam upwards of thirteen feet in thickness.At twenty-five minutes past noon, five cwt. was thrown intothe furnace (previously burt out), which kept the steam upwith a revolution of 37 per minute until 15 minutes to 3o'clock, when the furnace was again cleared out, and at 12minutes past five cwt. of the best Newcastle coals were tried,which kept up the steam, varying from 27 to 88 revolutions.per minute, until 5 o'clock. The result proved that theKillymoon coal",reject,reject,"{'date': -3668630400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9444, 'title': 'The Northern Daily Times.', 'score': 0.5212857127}",1871091162,718337757,POLITICAL,0.5212857127,0.5212857127,[],classification,1661245432
6,"their exhortations to shake the blind ob-stinacy of the Ottoman Government. It is by adeclaration of war, by a proclamation filled withlying accusations against Russia, that it has re-sponded to the pacific efforts of Europe, as well asto our spirit of long-suffering. At last, enrollingin the ranks of its army revolutionary exilesfrom all countries, the Porte has just com-menced hostilities on the Danube. Russia ischallenged to the combat, and she has noother course left her than, putting her trustin God, to have recourse to force of arms,1 the Ottoman government to res-pect treaties, and to obtain reparation for the in-sults",accept,accept,"{'date': -3664915200000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9601000000000001, 'title': 'The Northern Daily Times.', 'score': 0.4786927998}",-1046612776,619935347,POLITICAL,0.4786927998,0.4786927998,[],classification,1661245449
7,"year of its operation, and the stockholders mayconfidently look forward to still greater returns upon theirinvestment.""The Valparaiso Echo gives the subjoined navalnews :Don Domingo Elias, recently imprisoned bythe Peruvian Goverrunent, had made his escapefrom Callao to Ecuador, where it was said he waslikely to take part with Flores in raising anotherrevolution.Dates to the 2nd of August, from Melbourne,had been received at Panama, via Callao, havingbeen taken up to the former port by the sailingship Volga. A second remittance of Australiangold to the value of 45,000 dollars, intended forby Adams and Co.'s express. Melbourne paperssold in Panama at 50 cents (about",accept,accept,"{'date': -3665606400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9749000000000001, 'title': 'The Northern Daily Times.', 'score': 0.47370579840000004}",562902186,1747246624,POLITICAL,0.4737057984,0.4737057984,[],classification,1661245469
8,"the state, and whenever r11.,3' questions of science was in issue, he exercisedgreat influence in the decisions of the Chamber.oe2Tas many times President of the Council Pre-i'ai of the Seine, a body which he was the meansOr causing to decide in favour of the emancipationpaves in the French colonies.hi,ar7 the revolutions of 1848, and in the provi-te-,1141 governMent, M. Arago was considered thetiv,,resentative of the principle of order as well asvi,,” of the revilution. He maintained the samepo-„,""'s in the commission which had the executivei3tit'ver, and in the National Assembly. Through--44Ththe country he was deservedly popular and,left74.,aY be expected, after",accept,accept,"{'date': -3667939200000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9146000000000001, 'title': 'The Northern Daily Times.', 'score': 0.4680972993}",-279430350,-1991337329,POLITICAL,0.4680972993,0.4680972993,[],classification,1661245481
9,"abolish slaverys When theefforts of the abolition society created that will; which hetrusted and believed they would do, there would be found away. (Loud applause.) By appealing to their consciences,to- their fceliiigs, by touching every string in the humanbosom which could vibrate to the touch, they hoped to pro-duce that revolution in the feeling of the masses; which wascalled a change in public sentiment; which he felt certainwould be the precursor of universal emancipation: For thatconsummation. they Were laboiiring—iii thaenterprise theywere enlisted. Upon their behalf lie Was in England; and hewas in that room ; a part of his errand,",reject,accept,"{'date': -3668198400000, 'location': 'Liverpool, Merseyside, England', 'ocr_quality_mean': 0.9269000000000001, 'title': 'The Northern Daily Times.', 'score': 0.5328446627}",-595258136,567439629,POLITICAL,0.5328446627,0.5328446627,[],classification,1661245501
