,year,pol,sentences,ocr,loss_hmd_distilbert,loss_bnert-time-st-y,loss_bnert-time-y,loss_bnert-time-y_masked_25,loss_bnert-time-y_masked_75
0,1867,lib,"articlesbelonging to his employers. in answer to the pre-sident of the court before which he has just beentried as to what was his motive for committing therobbery, the prisoner said "" nothing else butgormandism."" in truth, the search of his lodgingswent far to prove the truth of his assertion, for thepolice found there chocolate, sardines, figs, pre-serves, and other good eatables belonging to hismasters, and also a box of excellent cigars, whichwould afford a pleasant smoke after a relish. it wasevident also that the prisoner was delicate in his habitsand did not eat with his fingers, for plenty of forksand",0.9695,4.898187702898091,4.800630016886654,4.788207617997694,5.310735961917247,5.341367980374209
1,1835,con,"this presump-tion is that the best-informed persons at the hague speak of auadvance upon insmancess of a fall in foreign stocks, and evenof war; which has tint, however; met with general belief. butas the official press offers no eiplanation, we must wait for some-thing confirnung this milltifaritois news. one fact is certain--that our government is on terms of great intimacy with russia;and that it has been solicited to be still more so, which would bescarcely prudent. we are williag to admit that governmentmay upon our porta to the squadron and undertake to revictualit. hut nit unite our forces with if,",0.8501,17.78326754941539,17.446070001901678,17.904489453830614,17.87008217732847,17.89714441982353
2,1855,lib,"courts and of the interference of therussian government and of russian agents in those coun-tries. but from what he(mr. cobden) had heard, he fanciedwe were much unistakenas tothe tendency of pnblicopinionin germany, and as to the supposed difference betweenthepeople and their governments in reference to this war. hewas told that in germany there was no party that wantedto join in the present war, and that though there might bewell-wishers to our cause there was no party ready tobreakthe peace and enter into hostilities with russia ; and if itwas recollected what was the past history of germany inrelation to france",0.948,8.07294912042541,7.096237299985683,7.065629808146902,6.701582885090683,6.755984084781654
3,1863,lib,"french ambassador has been appealed to as tothe possibility or non-possibility of a french subjecthaving ordered vessels of this stamp of an englishshipbuilder. there is declared to have come a properofficial reply from his excellency that no french sub-ject has any legal right to possess or purchase ves-sels of war, either for himself or on behalf of others.earl russell, it is said, argues to himself that thesevessels could only be vessels for the warlike purposesof a state or an individual. his lordship holds thatmessrs. laird are bound to declare—and sustainbn unimpeachable testimony such declaration—the government for whom the steam rams",0.9655,8.388588758125803,7.888846710064208,7.970568614248167,8.280886385979576,8.25444323143937
4,1828,lib,"the red barn en the19th april last, in the front of which there is a yard.the witness described the model. the gate ►s sixfeet high, or perhaps higher. some one was withhim. the bays of the barn were covered with litter.mrs. corder's bailiff, william pryke, was in beforehim. they began to poke down in the straw to see ifthey could find anything; the straw was thick, andthey removed it ; at the second or third time of rollingit off, they found some large loose stones in the bay,on the right going in. witness thought there musthave been something there, for",0.9184,11.523886943024712,11.07189466737427,10.978597490074824,10.261653261068131,10.176396621212382
5,1859,neutr,"st. george's iiali""call and see"", it spin where there is fish, soups, joints,also, wines, sp dneys,ts,cutlets, &e., served daily; moderate pnees.ops, s teaksand malt liquors, of the lest quality. a comfortable room to dine50 persons. private sitting-rooms and good bedrooms. bed andbreakfast, 2s. bd. a small charge for servants,plate and cutlery lent out on hire, for parties of from 10 personsto 500 persons.william lawton,proprietor.€9i4traptor yo andr large entertainments.",0.8571,46.787813697591,44.92131163148425,45.629252417489624,44.42094913179321,44.3092511694816
6,1865,lib,"golby's horses, out of lewesengagements.july 29, at 9 a.m. queen of trumps, and moulsey, outof radcliffe engagements. _ _july 29, at 2.55 p.m. blackthorn, out of brighton nursery.july 31, at 9 a.m. deliane, out of doncaster st. leger.july 31, at 9 a.m. dollar, out of great yorkshire:andicap.july 31, at 9 a.m. strafford, out of clowland cup, atdutingdon.july 31, at 10.30 a.m. ethelrod, out of brighton cupjuly 81, at 11.10 a.m. il re galantuomo, out of brightonbiennial.july 31, at 2.30 p.m. all marquis of hastings's horses,out of radcliffe engagements.july 31, at 5.30 p.m. harrier's whippern, out of priorystakes, lewes.aug, 1, at",0.8431,6.6494188632267015,6.996520775560106,7.034744241837948,6.418576122142,6.4724041987780945
7,1855,con,"age.john lamb, the wolllnown agricultural corre-spondent of the northern whig, in communicatingobservations made in his spring tour, states thatabout thirty-two years ago we had quite as late aspring as the recent one, and that the harvest was oneof the most abundant he ever witnessed.viscount canning is appointed governor-generalof india, in the room of the earl of dalhousie, whowill return to england before the end of the year.lord canning wwi under-secretary for foreignaffairs from 1811 to 1846, and has been postmaster-general since the formation of the aberdeen minis-try, in january, 1853.",0.953,12.76917755632844,12.371552631866273,12.534741801893622,12.624182897671982,12.589310989298797
8,1847,lib,"pondroad, london ; st. notes, huntingdonshire ;llanwinis, carrnarthenshire ; witham, essex ;winsgate, lancashire ; builth, brecon ; colne, lan-cashire ; dunmowe, essex ; springthorpe, lincoln;kington, hereford; hadleigh, suffolk; witham, essex;l'rome, somerset; chesham (2), bucks; fromo sel-wood, somerset; henley-on-thames, oxon; sidmouth,devon; broadwiudsor, dorset; ichford, bucks; southminster and burnham, essex ; lockwood, york ;henley and measham, oxon; upper clapton, middle-* shrewton, wilts. chesterton,cambri e • chesham,x'elv•; horneastlalban-s hertford;e, lincoln; st. ,shadwell, aliddlesex ; clayton, york; wincanton,somersetshir zhaw moor e ; norwich ; pershore, worcester;• hal-ter • pembroke nd ashton-under-lyne -l ne (4), lances-,; t,yre er y _mouth, northumberland ; bootle-street, mancheatetorrington devon.r",0.9288,21.662625852888155,20.2023572575708,20.26691616383146,21.09125298713572,20.750470717073878
9,1813,rad,"• • 1 schamaaant geat. via* ••,caldp.r, geat'e!ollias„ •itsgarsaserii.!.assistant-surgeoe w. forrestt4 dav, woes the lanark militiai,* gent. and alexander yjmagg speasspart..getet,to be amistaat•sergeasa,vlce wet"", fromoted. . • 11014pital strffc • '34 ili ditto,. asrfisona-sergeon.rebarl shoot, amin the suaai to be sergtonr to. be reecith4sergeon joh* freeman, &row.militia, to he. assistant—surgeon. vice mooney,. deceased.. i the 15th fuut s and suwon 'jobe *rile, from the ist wot,36th• ditto; lieutenantßidune perham; &dm the 85th foot, ' india regiment,to he lieutenant, without purchase. •_-_ •ito be suritioe ur a reerelft. district, ittstitstfrenty r., j;37th theta, ustja maja 'otley ;:ii,solt, from the .85th nos,",0.327,174.3075796542845,169.23786621709334,166.41295654718868,160.2208770370018,161.4911342552548
10,1827,lib,"let at 3,3051. for this year.lotand ear' the tolls arising from the several toll gates.14.t'thice.' up°ll the 'marybone roads, which tolls will.1 a fie. this .-,et 8 ~-.48 year, 3,969/.atilociiipart.po.n:ttiteolls arising from the several toll gateshighgate and hampstead roads, whichlet'v;re it at 16,8201. for this year.oats upon i he tolls arising from the several toll gates andtil. the city road which tolls were let at 3,3151.tot° year.aa(1111.:). the tolls arising from the several toll gates.4.llielia,ronitn the stamford hill and green lanes roadstot if ' were let at 12,650/. for this yea/.and tos • the tolls arising from the several toll",0.6655,72.53792963515565,67.21386450614817,67.02356470446705,66.37219161120083,66.42531942731387
11,1852,lib,"tariff comes into operation on the2nd feb. it is understood ro have given a consi-derable impetus to trade, though its immediate effecthas been unfavourable to the exchanges, owing tothe large demand for foreign bills to purchase arti-cles hitherto prohibited.baron knlmer has been raised to the rank of privycouncillor, and is to have a seat in the iteicharath.the new treaty between austria and russia re-specting the navigation of the danube will be shortlypublished. it may be remembered that the provi-sions of the former treaty, which are understood tobe still retained, were often used as a severe subjectof reproach to prince nletternich,",0.9053,5.139679206792042,5.091513627129262,5.103260217623197,5.112943470339017,5.142167973735536
12,1860,neutr,"epistlewill produce no more effect upon the english mind, byway of staying our preparations or allaying ouranxieties, than it has done upon the parisian mind—and that is ntl. they know the emperor too well tobelieve all the fine things he says. the logic of facts is•irresistible.a .sequel to m. edmond about's pamphlet, ""lzprusse en 1860,"" has made its appearance in paris atdentu's, the government publisher. ""la syrie al' alliance busse"" has, like m. about's work, themerit of frankness ; and, as it is understood to pro-ceed from the government workshop where suchproductions are manufactured, it' has naturally pro-duced great sensation.",0.8732,6.507179389506193,6.291363670074491,6.289430495517781,6.113815505842264,6.1223231470615
13,1868,lib,"done to herself by publishing "" birdsof prey"" so long before the production of its sequelof "" charlotte's inheritance."" cut in twain thus—her production remained during all that in-terval singularly incomplete, curiously andalmost ludicrously inartistic. the effect pro-duced, indeed, by an examination of "" birdsof prey"" apart from its sequel was asunsatisfactory and as disappointing as wouldhave been that of any other work of art when yetbut half accomplished. a piece of tapestry, let ussay, but partially woven —with the raw tags ofsilk and gold thread hanging across the skeletonweb-work of the canvass yet remaining to becovered by the rest",0.9499,19.261649654300527,18.30855908325983,18.552825775570607,17.924324567751523,18.058938258855907
14,1857,lib,"deter slam we yrs.arg reek ea or (the ) ade et thebore vere be wow ret it we ask tmoa saymiser k the bee of re 'prim of kr • 6vsserri. (""xser, beer,"" sad shows) he waitre *hi ba brae, owe it would have bra moworb-eszdkwter olired a in ea gs sealer ; br bea arrabele a eseratke would rmars erwrableto re leer wewan mibbow 16 morethe norm we lbw elltrews.board 07 tramhr. horsfall sieved hr. west esseulttes to inquireear re arlthe pa sal prefer erseiter 6 tad theewe m. at the bend of treks with re vlew tore bear",0.3736,194.95978236282596,182.83085219094667,181.7345440829953,173.85170194923546,173.2735334016833
15,1829,lib,"hon. robert viscount melville, k. t. ; theright hon. sir george cockburn, g.c.8., vice-admiralof the white squadron of his majesty's fleet ; sir henryhotham, k.c.b. vice-admiral of the blue squadron ofhis majesty's fleet; sir george clerk, bart. ; and fre-derick stewart, esq. (commonly called viscount castle-reagh), to be his majesty's coeimissioners for executingthe office of high admiral of the united kingdom ofgreat britain and ireland, and the dominions, islands, andterritories thereunto belonging.james thomson, jun. swan-alley, coleman-street, july17, at ten, at the court of commissioners.thomas baines and john fairnian, watling-streetwarehousemen, july 17, at ten, at the court of commis-sioners.j. f. smallman,",0.8843,3.072096139736573,2.894220359299315,2.8217794639555,2.6263320422749414,2.66356438398917
16,1864,lib,"betweenwhat doey know and what the ethers were ignorant of, andconclude that every tiro of the present day who is well upin its commonplaces excels st. austin, not only in know-ledge,but in grasp and largeness of mind—is morally andintellectually above him. and if, in some points, theycannot prove any advance at all over the past—if thenoblest poetry, the grandest architecture, the art of ex-pression in its heroic perfection, is not to be,fony4,- isscarcely pretended to in our time—these are things which""advanced thinkers"" do not care for, take no neoount of,and consider w 3 have -board -of trade returns,the officiareturns relating",0.9322,21.024649672388072,19.122301182738724,19.43654813365221,18.374792412794783,18.410728917564278
17,1855,lib,"person ofthe emperor—as, in truth, the most complete voteof confidence that has ever beea give* to any go-vernment as an approral of all its acts ; and, whilecomparing it to a second vote for the establishmentof the imperial. government, they challenge theiropponents, royalists and republicans alike,to produce anything like so substantial a mani-festation under the bourbons, or under therepublic. i have little doubt that the emperorhimself is much of the same opinion. it is certainthat with the more patriotic motives which influ-ence the subscribers is mixed up the natural desireto profit by the advantages which are offered bythe loan. advantages",0.9567,8.778854013025041,7.841967245211676,7.684943385078405,7.455575594229645,7.468043061443302
18,1868,lib,"three ran.the amateur welter stakes of 5 sous each, with 50 added,for hunters; four year olds list 21b, five list 101 b, sixand aged 12st. three miles.mr r. calder's scarrington, martext, dam by mickeyfree, 5 yrs, 12st 101 b (inc 141 b ex) (mr spence) 1mr r. calder's marksman, aged, 13st (inc 141 b extra)(owner) 2mr wilson's barrister, aged, 12st 41b (mr boynton) 3eight ran.the border handicap of 10 sovs each, 5 ft, and 3 only ifdeclared to messrs. weatherby only, by noon on tues-day, septemb3r 8, with 60 sovs aided by the borderracing club ; the winner of any",0.8646,9.615067634342982,9.160569611689729,8.92361304422976,8.56175957627028,8.72366516638138
19,1847,lib,"about 200 figures of distinguished personages whoflourished in the period of time commencing with the reignof henry 111., and ending with that of charles 11., and, oathe whole, presents a source of amusement, instruction, andinterest to the historian, the antiquary, the students of an-cient costume, and the admirers of the fine arts. to enume-rate the gems which the exhibition contains would requirealmost the repetition of the whole catalogue. suffice it there-fore to say, that in the suit of rooms which are occupiedbythese curtous facaimiles of ancient art will be found con-centrated some of the finest specimens of monumentalbrasses which are",0.8774,6.631777599675594,6.125777713762943,6.076207740560136,5.938854760675088,5.8892702043411225
