,year,nlp,sentences,ocr,diff_random,diff_majority,bnert-time-st-y,bnert-time-y,bnert-time-y_masked_25,bnert-time-y_masked_75,diff-bnert-time-st-y,diff-bnert-time-y,diff-bnert-time-y_masked_25,diff-bnert-time-y_masked_75
0,1819,2647,"a f 1 elects of the i' plat ammerslia tile. nesser.'s in..bed were obliged to meet it by a imre 13 t plicatioos. he geoid not them • jam the &tat1?-rhea!)-coold the., be a isms ers•a !of wing they had dem.;4l9. t they hey? ivse the slaking food to be emotional is ' peered. he hoped, to the ••i the !iketie sinking food banner iloottaraui.• gentleman, that therille-e lay duet .' sod zealous ',appear's, the mound to 'genial. etc, bomy. titer.? t /sw.ten willing to give it., pciat-, no lost*, it the }tight hoe.. itleott.gestlemwo *potato fair ~lay, hal called",0.453,26,33,[1813],1819,1819,1819,6,0,0,0
1,1805,2194,"e4!•rtption, ath lai i ,141 r 45is i , 7.1 4 c.,,iiveliielwi iliitauc,t,'p'aticlocks, pteastire-id, til.ni !!'4l)eit:4, 41(1 i)l4lt4tisiliti, singularly ortiainert-k,ci.mil ~,e4llli viai n , i't:~1 1 st,red ; (i itfderl4, 64c•'ltlt' 4'4 the i;• • t.. .r4.ic 4'"".""' ' • .• of affable,1.814 , e, ~.„4l,,,, ‘trii,) above six littlik:ril a ...cca...,,_ f31,,,,,‘,4 tivt hi.' sitelxi ale:ltiow lana .of the first qttalt,y (r)4tc.',liislr, 1,1:1'6(1 utul sixty aerei ar'e within 4 rillg.rence),.ii'4 el, i(.l;l4l'' c4i)ipiia p,trirts '41.4 liolding, with alli iii, ,11,;; thereon. -tilai)."" ~,l'il:).11.11""ute contains several spacious elegant rooms1` ,a 1 i-,l,tti.il but . ,air,„,4,.., i, , willt;ll,' 4t au",0.3123,28,25,[1814],1813,1813,1805,9,8,8,0
2,1827,2646,"my furnitore ws irma bon. east inwa c ny's service, us marianre, ,lacihter 0, 'w/ hail ?) it might teach windawrodincet without using its petrel ed about nine o'clock in the evening, while the wised for rent by cosy landlord, and betas the papers m show he it. late capt. john white, it. n•bind legs hy glair:l4'9d take breakfat to boot. at eleven, servants of his excellency's establishment were partak. i'm no slathe.beg,. your worship, but a free shims of lesmism and1 . therefore, a lively anxiety was felt fur its arrival, and iqg of. the.usual festivities on christmas eve.",0.4863,12,27,[1819],1820,1820,1812,8,7,7,15
3,1819,2647,"to. the present practise, %vela ~ is s flpfeedi4 spectacle, awl some n.•w dapcers cus.tri-'mit of sir john hlortitner, in the relit* ofilenry loted le the general effect sell'ph it prodcred.saanostot,„‘t iita the, pa,thmassto,thbwit am,.., .41) the alteration we coiii4 perceive its the declratielt 'of cr 'afg,44:,.. was~,ii,,igej 44 i, .1, carried to of the house consisted i-,'the removal of the dra ; 'ter of lonoluo, to i.e drawn throsgh the city to web was slisprsed 56 as to soften the intolerable s t.,s, stud then hanged, drawn, and triatterod. his coffin, by the immense chandelier. if this stolesiss be",0.4844,25,39,[1814],1813,1813,1813,5,6,6,6
4,1822,2647,"4.:: um• raft,varies et -reit snaky' dot ef-sespe ere modsis your hestils oilesial frepedattieded pew elerrisionto the m faidiyalr :fan mine den wlitd niejestify omit yfeettoned is(iser tailke leldenopposers an i,r,lriteitl at int (ma *lobe iirpr•visieellitniaainloft esaarskiget yet/lee poi.,et, &sew ie.!"" prapselag. tat sipes forme repose.sad ii wiliartel the 'yew gleser."". m. tripier segadthe preptitsyst wrilllikg the aplnoseressorsi to vwbar. it mold ueridalif tied nw* at 'justin, n'the preeederelinflit *lf ""striae at' polders; and itwas peedhle. heilem. dist the atteraordeaerel sightjustify hiseelt; agel ,obtain ea assalans acquittal.m. der irdebiessealsidevet his es liable to so isprimer. 11.11inesi sigrrtede the modem, aod,",0.4629,7,56,[1819],1819,1819,1819,3,3,3,3
5,1814,2647,". , , • ititiegrai.uititiiiiio444oljet-..... • a sy'.... iitiorciiiiilots idatattt ,ceicib ik.sa, bbd ta g . . , - ~..•.•••trti 4. i""1 ' •!!'d ""1' ''ql ' "" • .- t ' 'la la.:-ve '.'.."" 4: ' _tearre4• 'as' ~:•i* •*l3 *, '4' _j* •••-- , . •• •••,4 3...401411111 njiltkitilify skit4ol4l4.ilit'llitiut- na qta middiegtd perton, t•whitee.it'geedi . .111-,p4140 l-flitpiii,cclm - 41,- 1:: - ! , igverlo otsi.4.. 1,4,•„...,3iit ,' ' rtisim„, .,'~... ~ ~ .., .... ...: - .4.:, r .~.. lc.... ar anal gamin* adroigok, --op, ;sr.uoiagnota, . ... , • •-•. 61, ''•• •••• lls..eltats .:iyib.istier. .:'",0.2203,32,1,[1814],1814,1813,1813,0,0,1,1
6,1813,2647,"but had resided 27 years in:the united stites of america,* which countrytitchad.bee.orae a.citiien; the veisa was american,i and owned by the ""plaintiff, and 'had- no licence.—, she wifi'ditectedby the plaintiff to touch at elsi-nrui for 'orders, which she accordingly did. thepliinlifflitlqk at the time that england and denmark*tie atwetr. 'the plaintiff had a verdict at the trial,the point being reserved; and the defendant hadobtained a' rule rein, to show cause why there shouldi not be a new trial. his lordship, said the courthad given the case the utmost consideration ; andole qnestiint wes, whether a natural born subject ofthese fealms,",0.3974,34,13,[1801],1810,1814,1814,12,3,1,1
7,1803,2194,"- 3as a 32s ad o,its - - 23's 3 26s a 2,13,inew ditto, - ---s a.--b ori' , polaill dittf) , - 21, a 3os ocl~.riot' . 24,i a z oci it.avesect .. -35. i: a 371malt . - . sas. a 56s ‘.4 yirie ilui,ir - cas a 53a gc.lwhite pease sts a 56s od seliumis - . 4.is a sos",0.4979,36,43,[1846],1842,1813,1801,43,39,10,2
8,1808,2194,"the. lin :ted king dtktil,with sittyin the press, awl in few days w,ll he published,in one t.zry tame au.t civse;y, primed valynio, oetavo icor.respoodurg witi; ti,;raphical didinnary), acm -. .compaitied liy-sep4r.ile ot every county in. eh land.arty by vari,o.is sut wales, scothiqd, and ireland. rt. e ';43. c plete its iroiirtis, ur the-i)i6aionati.done up s.vltlinut.the maps, ritice ins. in bo,irtis,, or the maps done upsepa.rately, pticu t. ti4l ov...bound, teem dog the compktedtatlss ut the iiripan, i shim's yet every tap hay.ing been &imo purposely fro.n mat eritds on a new104,1). • •i'opc)grapi4ical oicylonaßy of the1-.1. un it i: i)",0.4868,45,52,[1801],1803,1803,1803,7,5,5,5
9,1801,2194,")'clock,six horses,nd detachedlansion and,den, withinrapery,t ma beau.c.of aboltinged within the)i'.eievati.onap erni-s,.elicjrciedconneaed,trance';iciottsiyly. suppiicale 'receptiononipacsout-liuitdand pasture;rto resumee bath andiota, vier,s)tincy-k.ldrich and21041ich may. be,&on and 01roposals hiof salop,ts,if chet-plentifars auatedad-•old chesterand forty.ith suitableye gruunfarms, <1le free, asvihad of ti,e.ester' c=l‘;•incenix, ar.`;revvport ;'s. shawes,,tie-hou setre a ,pian eact,istate,tilize'e,au agtze"";town 0'one, na;am star°ton,ciesc,:t, .01re n 3cind 0.i5,,`3openlrk-i,ll'es,watei's c f...;vt c..eand dv•c'lew ill:: •ill!• will2•',""rie g.niqvrecrsoly,s,timely dcll#.t e.asichc;lhe'6 in 1,4g thercto 17,occupied 7,f-anu-24 6°,4a ; ant,of lateles along. i,l°.th-the.rsf gordoo,accessarylinfs 01l d)nd cour'leto be i't'""known""of the v;01eiretir.is per.-0oriiarke4peasi afte,/i, are lnc`cjil'c.) (aireddlcsex ;-'ornhillii; 00111324, /4°,y3te‘,at his ,oppositeazard, /3e3slit:011ins, ,c;aftimei and se.pears?reaitv,priiciak; le;inns. &vcastller, g 1470putableludcea'itive dro",0.4395,25,33,[1807],1801,1801,1801,6,0,0,0
